timestamp,determinand,unit,value,tank,tank_num
2023-04-05 02:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-05 02:00:00,tl,C,8.31,CON.AVG,1.0
2023-04-05 02:00:00,ts,C,9.19,CON.AVG,1.0
2023-04-05 03:00:00,pr,mBar,1004.97,CON.AVG,1.0
2023-04-05 05:00:00,ph,pH,7.31,CON.AVG,1.0
2023-04-05 05:00:00,tl,C,8.06,CON.AVG,1.0
2023-04-05 05:00:00,ts,C,8.92,CON.AVG,1.0
2023-04-05 06:00:00,pr,mBar,1004.97,CON.AVG,1.0
2023-04-05 07:00:00,gc,%CH4,0.01,CON.AVG,1.0
2023-04-05 07:00:00,tl,C,7.94,CON.AVG,1.0
2023-04-05 08:00:00,ph,pH,7.48,CON.AVG,1.0
2023-04-05 08:00:00,pr,mBar,1000.73,CON.AVG,1.0
2023-04-05 08:00:00,tl,C,7.97,CON.AVG,1.0
2023-04-05 08:00:00,ts,C,8.74,CON.AVG,1.0
2023-04-05 09:00:00,ph,pH,7.5,CON.AVG,1.0
2023-04-05 09:00:00,pr,mBar,999.7,CON.AVG,1.0
2023-04-05 09:00:00,tl,C,8.32,CON.AVG,1.0
2023-04-05 09:00:00,ts,C,8.59,CON.AVG,1.0
2023-04-05 10:00:00,ph,pH,7.41,CON.AVG,1.0
2023-04-05 10:00:00,pr,mBar,999.7,CON.AVG,1.0
2023-04-05 10:00:00,tl,C,8.44,CON.AVG,1.0
2023-04-05 10:00:00,ts,C,8.7,CON.AVG,1.0
2023-04-05 11:00:00,ph,pH,7.37,CON.AVG,1.0
2023-04-05 11:00:00,pr,mBar,999.7,CON.AVG,1.0
2023-04-05 11:00:00,tl,C,8.57,CON.AVG,1.0
2023-04-05 11:00:00,ts,C,8.79,CON.AVG,1.0
2023-04-05 12:00:00,ph,pH,7.29,CON.AVG,1.0
2023-04-05 12:00:00,pr,mBar,999.7,CON.AVG,1.0
2023-04-05 12:00:00,tl,C,8.72,CON.AVG,1.0
2023-04-05 12:00:00,ts,C,8.92,CON.AVG,1.0
2023-04-05 13:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-05 13:00:00,ph,pH,7.31,CON.AVG,1.0
2023-04-05 13:00:00,pr,mBar,999.53,CON.AVG,1.0
2023-04-05 13:00:00,tl,C,8.79,CON.AVG,1.0
2023-04-05 13:00:00,ts,C,9.05,CON.AVG,1.0
2023-04-05 14:00:00,ph,pH,7.25,CON.AVG,1.0
2023-04-05 14:00:00,pr,mBar,999.13,CON.AVG,1.0
2023-04-05 14:00:00,tl,C,9.03,CON.AVG,1.0
2023-04-05 14:00:00,ts,C,9.23,CON.AVG,1.0
2023-04-05 15:00:00,ph,pH,7.31,CON.AVG,1.0
2023-04-05 15:00:00,pr,mBar,999.13,CON.AVG,1.0
2023-04-05 15:00:00,tl,C,9.43,CON.AVG,1.0
2023-04-05 15:00:00,ts,C,9.5,CON.AVG,1.0
2023-04-05 16:00:00,ph,pH,7.3,CON.AVG,1.0
2023-04-05 16:00:00,pr,mBar,999.13,CON.AVG,1.0
2023-04-05 16:00:00,tl,C,9.61,CON.AVG,1.0
2023-04-05 16:00:00,ts,C,9.71,CON.AVG,1.0
2023-04-05 17:00:00,ph,pH,7.21,CON.AVG,1.0
2023-04-05 17:00:00,pr,mBar,999.13,CON.AVG,1.0
2023-04-05 17:00:00,tl,C,9.63,CON.AVG,1.0
2023-04-05 17:00:00,ts,C,9.79,CON.AVG,1.0
2023-04-05 18:00:00,ph,pH,7.41,CON.AVG,1.0
2023-04-05 18:00:00,pr,mBar,999.13,CON.AVG,1.0
2023-04-05 18:00:00,tl,C,9.76,CON.AVG,1.0
2023-04-05 18:00:00,ts,C,9.86,CON.AVG,1.0
2023-04-05 19:00:00,gc,%CH4,0.01,CON.AVG,1.0
2023-04-05 19:00:00,ph,pH,7.46,CON.AVG,1.0
2023-04-05 19:00:00,pr,mBar,998.66,CON.AVG,1.0
2023-04-05 19:00:00,tl,C,9.71,CON.AVG,1.0
2023-04-05 19:00:00,ts,C,9.94,CON.AVG,1.0
2023-04-05 20:00:00,ph,pH,7.46,CON.AVG,1.0
2023-04-05 20:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-05 20:00:00,tl,C,9.74,CON.AVG,1.0
2023-04-05 20:00:00,ts,C,9.94,CON.AVG,1.0
2023-04-05 21:00:00,ph,pH,7.61,CON.AVG,1.0
2023-04-05 21:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-05 21:00:00,tl,C,9.84,CON.AVG,1.0
2023-04-05 21:00:00,ts,C,9.87,CON.AVG,1.0
2023-04-05 22:00:00,ph,pH,7.72,CON.AVG,1.0
2023-04-05 22:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-05 22:00:00,tl,C,9.85,CON.AVG,1.0
2023-04-05 22:00:00,ts,C,9.89,CON.AVG,1.0
2023-04-05 23:00:00,ph,pH,7.65,CON.AVG,1.0
2023-04-05 23:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-05 23:00:00,tl,C,9.84,CON.AVG,1.0
2023-04-05 23:00:00,ts,C,9.89,CON.AVG,1.0
2023-04-06 00:00:00,ph,pH,7.53,CON.AVG,1.0
2023-04-06 00:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 00:00:00,tl,C,9.78,CON.AVG,1.0
2023-04-06 00:00:00,ts,C,9.87,CON.AVG,1.0
2023-04-06 01:00:00,ph,pH,7.69,CON.AVG,1.0
2023-04-06 01:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 01:00:00,tl,C,9.75,CON.AVG,1.0
2023-04-06 01:00:00,ts,C,9.85,CON.AVG,1.0
2023-04-06 02:00:00,ph,pH,7.79,CON.AVG,1.0
2023-04-06 02:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 02:00:00,tl,C,9.71,CON.AVG,1.0
2023-04-06 02:00:00,ts,C,9.84,CON.AVG,1.0
2023-04-06 03:00:00,ph,pH,7.84,CON.AVG,1.0
2023-04-06 03:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 03:00:00,tl,C,9.6,CON.AVG,1.0
2023-04-06 03:00:00,ts,C,9.81,CON.AVG,1.0
2023-04-06 04:00:00,ph,pH,7.83,CON.AVG,1.0
2023-04-06 04:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 04:00:00,tl,C,9.47,CON.AVG,1.0
2023-04-06 04:00:00,ts,C,9.76,CON.AVG,1.0
2023-04-06 05:00:00,ph,pH,8.09,CON.AVG,1.0
2023-04-06 05:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 05:00:00,tl,C,9.28,CON.AVG,1.0
2023-04-06 05:00:00,ts,C,9.66,CON.AVG,1.0
2023-04-06 06:00:00,ph,pH,7.69,CON.AVG,1.0
2023-04-06 06:00:00,pr,mBar,997.6,CON.AVG,1.0
2023-04-06 06:00:00,tl,C,9.15,CON.AVG,1.0
2023-04-06 06:00:00,ts,C,9.56,CON.AVG,1.0
2023-04-06 07:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-06 07:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-06 07:00:00,pr,mBar,996.53,CON.AVG,1.0
2023-04-06 07:00:00,tl,C,8.97,CON.AVG,1.0
2023-04-06 07:00:00,ts,C,9.45,CON.AVG,1.0
2023-04-06 08:00:00,ph,pH,7.29,CON.AVG,1.0
2023-04-06 08:00:00,pr,mBar,994.43,CON.AVG,1.0
2023-04-06 08:00:00,tl,C,8.99,CON.AVG,1.0
2023-04-06 08:00:00,ts,C,9.48,CON.AVG,1.0
2023-04-06 09:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-06 09:00:00,pr,mBar,994.43,CON.AVG,1.0
2023-04-06 09:00:00,tl,C,9.2,CON.AVG,1.0
2023-04-06 09:00:00,ts,C,9.35,CON.AVG,1.0
2023-04-06 10:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-06 10:00:00,pr,mBar,994.43,CON.AVG,1.0
2023-04-06 10:00:00,tl,C,9.37,CON.AVG,1.0
2023-04-06 10:00:00,ts,C,9.49,CON.AVG,1.0
2023-04-06 11:00:00,ph,pH,7.36,CON.AVG,1.0
2023-04-06 11:00:00,pr,mBar,994.43,CON.AVG,1.0
2023-04-06 11:00:00,tl,C,9.69,CON.AVG,1.0
2023-04-06 11:00:00,ts,C,9.92,CON.AVG,1.0
2023-04-06 12:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-06 12:00:00,pr,mBar,994.43,CON.AVG,1.0
2023-04-06 12:00:00,tl,C,9.98,CON.AVG,1.0
2023-04-06 12:00:00,ts,C,10.54,CON.AVG,1.0
2023-04-06 13:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-06 13:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-06 13:00:00,pr,mBar,995.15,CON.AVG,1.0
2023-04-06 13:00:00,tl,C,10.27,CON.AVG,1.0
2023-04-06 13:00:00,ts,C,11.02,CON.AVG,1.0
2023-04-06 14:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-06 14:00:00,pr,mBar,996.57,CON.AVG,1.0
2023-04-06 14:00:00,tl,C,10.6,CON.AVG,1.0
2023-04-06 14:00:00,ts,C,11.39,CON.AVG,1.0
2023-04-06 15:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-06 15:00:00,pr,mBar,996.57,CON.AVG,1.0
2023-04-06 15:00:00,tl,C,11.03,CON.AVG,1.0
2023-04-06 15:00:00,ts,C,11.22,CON.AVG,1.0
2023-04-06 16:00:00,ph,pH,7.34,CON.AVG,1.0
2023-04-06 16:00:00,pr,mBar,996.57,CON.AVG,1.0
2023-04-06 16:00:00,tl,C,11.16,CON.AVG,1.0
2023-04-06 16:00:00,ts,C,11.33,CON.AVG,1.0
2023-04-06 17:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-06 17:00:00,pr,mBar,996.57,CON.AVG,1.0
2023-04-06 17:00:00,tl,C,11.1,CON.AVG,1.0
2023-04-06 17:00:00,ts,C,11.47,CON.AVG,1.0
2023-04-06 18:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-06 18:00:00,pr,mBar,996.57,CON.AVG,1.0
2023-04-06 18:00:00,tl,C,11.03,CON.AVG,1.0
2023-04-06 18:00:00,ts,C,11.41,CON.AVG,1.0
2023-04-06 19:00:00,gc,%CH4,0.0,CON.AVG,1.0
2023-04-06 19:00:00,ph,pH,7.33,CON.AVG,1.0
2023-04-06 19:00:00,pr,mBar,997.92,CON.AVG,1.0
2023-04-06 19:00:00,tl,C,10.94,CON.AVG,1.0
2023-04-06 19:00:00,ts,C,11.39,CON.AVG,1.0
2023-04-06 20:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-06 20:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-06 20:00:00,tl,C,10.7,CON.AVG,1.0
2023-04-06 20:00:00,ts,C,11.23,CON.AVG,1.0
2023-04-06 21:00:00,ph,pH,7.35,CON.AVG,1.0
2023-04-06 21:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-06 21:00:00,tl,C,10.33,CON.AVG,1.0
2023-04-06 21:00:00,ts,C,10.73,CON.AVG,1.0
2023-04-06 22:00:00,ph,pH,7.32,CON.AVG,1.0
2023-04-06 22:00:00,pr,mBar,1000.67,CON.AVG,1.0
2023-04-06 22:00:00,tl,C,9.94,CON.AVG,1.0
2023-04-06 22:00:00,ts,C,10.64,CON.AVG,1.0
2023-04-06 23:00:00,ph,pH,7.35,CON.AVG,1.0
